Iteration,Time_si,Walltime,Optimization,ForceX_si,ForceY_si,Moment_si,PowerX_si,PowerY_si,PowerR_si,Power_si,Power2_si,VolumeW_si,Objective,Objective_si
6150000,10.25,28017.270433,21,19.343923259941,-338.85461283689,0.006476054170472,479.16725057891,0,21.062265405194,500.2295159841,0,0.75000574188493,57.467457822113,57.467457822113
6600000,11,28153.003342,22,19.423924486015,-341.19580962592,0.006685226144497,484.02989999891,0,20.087811278999,504.11771127791,0,0.7500012305756,56.517030310765,56.517030310765
6450000,10.75,29336.753593,22,19.423924486015,-341.19580962592,0.006685226144497,484.02989999891,0,20.087811278999,504.11771127791,0,0.7500012305756,56.517030310765,56.517030310765
6900000,11.5,29472.045835,23,19.325019478206,-339.9249829043,0.006525040967324,481.11552158333,0,20.604326156841,501.7198477402,0,0.75000635155294,57.929024373849,57.929024373849
6750000,11.25,30654.588811,23,19.325019478206,-339.9249829043,0.006525040967324,481.11552158333,0,20.604326156841,501.7198477402,0,0.75000635155294,57.929024373849,57.929024373849
7200000,12,30789.292035,24,19.281634937282,-340.85418623563,0.006767061923967,483.09640964792,0,20.119871497662,503.21628114559,0,0.75000235272241,57.697653119379,57.697653119379
7050000,11.75,31975.525168,24,19.281634937282,-340.85418623563,0.006767061923967,483.09640964792,0,20.119871497662,503.21628114559,0,0.75000235272241,57.697653119379,57.697653119379
7500000,12.5,32114.178712,25,19.307347725417,-340.27101259322,0.006604541085317,481.78579776629,0,20.430510639634,502.21630840593,0,0.75000535926409,58.032499190842,58.032499190842
7350000,12.25,33295.773413,25,19.307347725417,-340.27101259322,0.006604541085317,481.78579776629,0,20.430510639634,502.21630840593,0,0.75000535926409,58.032499190842,58.032499190842
7800000,13,33429.22641,26,19.27219051518,-340.48813537547,0.006652747697564,482.02298089201,0,20.462494174437,502.48547506644,0,0.7500045868618,58.229502321153,58.229502321153
7650000,12.75,34611.962222,26,19.27219051518,-340.48813537547,0.006652747697564,482.02298089201,0,20.462494174437,502.48547506644,0,0.7500045868618,58.229502321153,58.229502321153
8100000,13.5,34746.959068,27,19.240755915938,-340.66349584988,0.006693552574576,482.2269721436,0,20.488833310902,502.71580545452,0,0.75000413630718,58.348265678187,58.348265678187
7950000,13.25,35934.517364,27,19.240755915938,-340.66349584988,0.006693552574576,482.2269721436,0,20.488833310902,502.71580545452,0,0.75000413630718,58.348265678187,58.348265678187
8400000,14,36066.833097,28,19.236536711112,-340.59589502299,0.006697877654381,482.11398156226,0,20.492519688831,502.60650125109,0,0.75000433035172,58.366459986208,58.366459986208
8250000,13.75,37251.657812,28,19.236536711112,-340.59589502299,0.006697877654381,482.11398156226,0,20.492519688831,502.60650125109,0,0.75000433035172,58.366459986208,58.366459986208
8700000,14.5,37386.748267,29,19.234230765526,-340.573267497,0.006702107949275,482.08759502297,0,20.483946469036,502.57154149199,0,0.75000442123708,58.367476097631,58.367476097631
8550000,14.25,38575.483681,29,19.234230765526,-340.573267497,0.006702107949275,482.08759502297,0,20.483946469036,502.57154149199,0,0.75000442123708,58.367476097631,58.367476097631
9000000,15,38709.713663,30,19.232811786371,-340.56667208777,0.006705005615092,482.0820047416,0,20.479408577559,502.56141331915,0,0.75000444209309,58.367579516652,58.367579516652
8850000,14.75,39893.475555,30,19.232811786371,-340.56667208777,0.006705005615092,482.0820047416,0,20.479408577559,502.56141331915,0,0.75000444209309,58.367579516652,58.367579516652
9300000,15.5,40028.112385,31,19.231162150017,-340.56341631386,0.00670746832444,482.07893436272,0,20.477483971138,502.55641833383,0,0.75000446186884,58.367615876557,58.367615876557
9150000,15.25,41210.249397,31,19.231162150017,-340.56341631386,0.00670746832444,482.07893436272,0,20.477483971138,502.55641833383,0,0.75000446186884,58.367615876557,58.367615876557
9600000,16,41349.336471,32,19.230866651305,-340.56309539759,0.006707877723911,482.07839890202,0,20.477527743397,502.55592664541,0,0.75000446325319,58.367617405072,58.367617405072
9450000,15.75,42532.404775,32,19.230866651305,-340.56309539759,0.006707877723911,482.07839890202,0,20.477527743397,502.55592664541,0,0.75000446325319,58.367617405072,58.367617405072
9900000,16.5,42671.805938,33,19.230856503694,-340.56322512561,0.006707876187055,482.07852360842,0,20.477601590685,502.55612519911,0,0.75000446294571,58.367617434945,58.367617434945
9750000,16.25,43850.714334,33,19.230856503694,-340.56322512561,0.006707876187055,482.07852360842,0,20.477601590685,502.55612519911,0,0.75000446294571,58.367617434945,58.367617434945
10200000,17,43985.019439,34,19.230857856364,-340.56321956895,0.006707874319114,482.0785119262,0,20.477604767797,502.55611669401,0,0.75000446293935,58.367617435007,58.367617435007
10050000,16.75,45170.62756,34,19.230857856364,-340.56321956895,0.006707874319114,482.0785119262,0,20.477604767797,502.55611669401,0,0.75000446293935,58.367617435007,58.367617435007
10500000,17.5,45305.070999,35,19.230857912149,-340.56322082923,0.006707874163114,482.07851374353,0,20.47760487949,502.55611862302,0,0.75000446293732,58.367617435007,58.367617435007
10350000,17.25,46484.989995,35,19.230857912149,-340.56322082923,0.006707874163114,482.07851374353,0,20.47760487949,502.55611862302,0,0.75000446293732,58.367617435007,58.367617435007
10800000,18,46623.005482,36,19.230857910392,-340.56322076162,0.006707874170214,482.07851364992,0,20.477604869593,502.55611851953,0,0.75000446293742,58.367617435011,58.367617435011
10650000,17.75,47804.040316,36,19.230857910392,-340.56322076162,0.006707874170214,482.07851364992,0,20.477604869593,502.55611851953,0,0.75000446293742,58.367617435011,58.367617435011
11100000,18.5,47938.688508,37,19.23085791041,-340.56322076161,0.006707874170186,482.07851364989,0,20.477604869617,502.55611851951,0,0.75000446293742,58.367617435008,58.367617435008
10950000,18.25,49122.505614,37,19.23085791041,-340.56322076161,0.006707874170186,482.07851364989,0,20.477604869617,502.55611851951,0,0.75000446293742,58.367617435008,58.367617435008
